,1GWh,2GWh,3GWh,4GWh,5GWh,6GWh,7GWh,8GWh,9GWh,10GWh
loc_013,0.14113324681238626,0.14113324681238626,0.14113324681238626,0.14113324681238626,0.14113324681238626,0.14113324681238626,0.14113324681238626,0.14113324681238626,0.14113324681238626,0.14113324681238626
loc_018,0.1841471004098353,0.1841471004098353,0.1841471004098353,0.1841471004098353,0.1841471004098353,0.1841471004098353,0.1841471004098353,0.1841471004098353,0.1841471004098353,0.1841471004098353
loc_017,0.10403641962659387,0.10403641962659387,0.10403641962659387,0.10403641962659387,0.10403641962659387,0.10403641962659387,0.10403641962659387,0.10403641962659387,0.10403641962659387,0.10403641962659387
loc_015,0.23682811589253192,0.23682811589253192,0.23682811589253192,0.23682811589253192,0.23682811589253192,0.23682811589253192,0.23682811589253192,0.23682811589253192,0.23682811589253192,0.23682811589253192
loc_019,0.12383640141165753,0.12383640141165753,0.12383640141165753,0.12383640141165753,0.12383640141165753,0.12383640141165753,0.12383640141165753,0.12383640141165753,0.12383640141165753,0.12383640141165753
loc_020,0.20585831625683026,0.20585831625683026,0.20585831625683026,0.20585831625683026,0.20585831625683026,0.20585831625683026,0.20585831625683026,0.20585831625683026,0.20585831625683026,0.20585831625683026
loc_022,0.11642047586520965,0.11642047586520965,0.11642047586520965,0.11642047586520965,0.11642047586520965,0.11642047586520965,0.11642047586520965,0.11642047586520965,0.11642047586520965,0.11642047586520965
loc_023,0.22797191370673925,0.22797191370673925,0.22797191370673925,0.22797191370673925,0.22797191370673925,0.22797191370673925,0.22797191370673925,0.22797191370673925,0.22797191370673925,0.22797191370673925
loc_021,0.205948423269581,0.205948423269581,0.205948423269581,0.205948423269581,0.205948423269581,0.205948423269581,0.205948423269581,0.205948423269581,0.205948423269581,0.205948423269581
loc_026,0.11486312727686661,0.11486312727686661,0.11486312727686661,0.11486312727686661,0.11486312727686661,0.11486312727686661,0.11486312727686661,0.11486312727686661,0.11486312727686661,0.11486312727686661
loc_025,0.1931033424408007,0.1931033424408007,0.1931033424408007,0.1931033424408007,0.1931033424408007,0.1931033424408007,0.1931033424408007,0.1931033424408007,0.1931033424408007,0.1931033424408007
loc_027,0.20545236794171262,0.20545236794171262,0.20545236794171262,0.20545236794171262,0.20545236794171262,0.20545236794171262,0.20545236794171262,0.20545236794171262,0.20545236794171262,0.20545236794171262
loc_024,0.2255358151183977,0.2255358151183977,0.2255358151183977,0.2255358151183977,0.2255358151183977,0.2255358151183977,0.2255358151183977,0.2255358151183977,0.2255358151183977,0.2255358151183977
loc_028,0.2525120366575588,0.2525120366575588,0.2525120366575588,0.2525120366575588,0.2525120366575588,0.2525120366575588,0.2525120366575588,0.2525120366575588,0.2525120366575588,0.2525120366575588
loc_031,0.12682188979963585,0.12682188979963585,0.12682188979963585,0.12682188979963585,0.12682188979963585,0.12682188979963585,0.12682188979963585,0.12682188979963585,0.12682188979963585,0.12682188979963585
